	English	Spanish
	(Glasgow)	(Moreno-Martínez)
BNC-Spoken	0.041127	
CREA-Spoken		0.000000
ACTIV-ES		0.000000
EsPal		0.003167
OpenSubtitles	0.516154	0.868268
SubIMDB	0.000001	
SUBTLEX	0.444331	0.082586
SUBTLEX-UK	0.000000	
GINI	0.000000	
Wikipedia	0.000000	0.000000
wordfreq	0.002689	0.000001
TUBELEX\textsubscript{default}		
TUBELEX\textsubscript{regex}	0.356394	0.965678
TUBELEX\textsubscript{lemma}	0.019605	0.879243
TUBELEX_entertainment	0.000000	0.009157
TUBELEX_entertainment_L	0.006426	0.140855
TUBELEX_entertainment_R	0.000000	0.017877
TUBELEX_comedy	0.000140	0.000000
TUBELEX_comedy_L	0.007998	0.000000
TUBELEX_comedy_R	0.000352	0.000000
