	English	Spanish
wordfreq	0.637	0.5605
Wikipedia	0.4462	0.43
SUBTLEX	0.6416	0.5852
SUBTLEX-UK	0.6739	
OpenSubtitles	0.6498	0.6115
GINI	0.4819	
ACTIV-ES		0.4955
Alonso+2011		0.5098
EsPal		0.5568
TUBELEX\textsubscript{default}	0.6462	0.6097
TUBELEX\textsubscript{regex}	0.6456	0.6099
TUBELEX\textsubscript{lemma}	0.6393	0.6089
TUBELEX_entertainment	0.6643	0.5901
TUBELEX_entertainment_L	0.6575	0.5973
TUBELEX_entertainment_R	0.6635	0.5888
TUBELEX_comedy	0.6669	0.5011
TUBELEX_comedy_L	0.6619	0.5091
TUBELEX_comedy_R	0.6658	0.4999
