	Indonesian	Japanese	Chinese	English	Spanish
frequency	0.5703080748604173	0.1746834649104011	0.3307827265196513	0.3066068098234794	0.588014068006261
range	0.8753167152375178	0.925100691110062	0.9016498404255248	0.7616998019887917	0.7313694763675438
sort_gini	0.7164080142523134	0.8740056715888722	0.7920235061120293	0.7827060252727758	0.5951590312785753
juilland_d	0.6257209127999928	0.8182417475368249	0.7182448340186676	0.6718960183199892	0.4457972470373852
gries_dp	0.5826968011801961	0.8228107659572975	0.6691133391915405	0.6922099483997949	0.4800675641315419
rosengren_s	0.8062447160606859	0.9087277741475164	0.8554785297528318	0.7936120178330586	0.6733210002586012
carrol_d2	0.7110274966146413	0.8573821108464726	0.7867292156421706	0.7097727213573773	0.5446901214632025
lyne_d3	0.3700131701467351	0.5994842039227041	0.4755079207377519	0.3590995138312095	0.2979133844881017
range_channels	0.6845303494571219	0.5509732101491586	0.6065647227393844	0.6732991900194065	0.751009387157262
sort_gini_channels	0.6072869055076868	0.4385923211980932	0.5136486181283508	0.5814044118008802	0.6653323994866983
juilland_d_channels	0.865185674274243	0.9204291293572836	0.8271618020556568	0.8462232128129834	0.8467871573310599
gries_dp_channels	0.8278922738079232	0.8280469430365491	0.6563822854545244	0.8382907433025241	0.8808093158643507
rosengren_s_channels	0.6382018905912632	0.483090320488193	0.5501571532192197	0.6230198130243847	0.6984435579146233
carrol_d2_channels	0.9595458588673964	0.9704043474682864	0.8819875994922793	0.9813532010157522	0.968299788421188
lyne_d3_channels	0.4027023776610463	0.6155550056262187	0.4838809021751032	0.360666031371967	0.4061546446537552
range_videos	0.64126793785986	0.450276422211935	0.5623924689123683	0.635669657826604	0.6792262426210322
sort_gini_videos	0.5861645544055254	0.3958570673075685	0.5393071129143086	0.5619135177118135	0.6361276678634024
juilland_d_videos	0.8582789980458426	0.9049454048248076	0.8340798262718484	0.8299840373659995	0.8288884667339147
gries_dp_videos	0.7573318587812669	0.5921604737069366	0.718409769017121	0.7628498379886107	0.7670368415451421
rosengren_s_videos	0.6093682900801471	0.4211905330034902	0.5481933025509828	0.5973321220986076	0.6546131776089832
carrol_d2_videos	0.970618246253128	0.9840851959336012	0.9501429962701236	0.9849445169488892	0.9786721173653284
lyne_d3_videos	0.4001862038909417	0.6076460380435955	0.5058909954319435	0.354888252027699	0.3958644163961842
log_frequency	1.0	1.0	1.0	1.0	1.0
log_range	0.8122333421031374	0.8681161023824351	0.8680423884385797	0.6802955784455392	0.6830437168706635
log_sort_gini	0.7284025732770785	0.8620811234278198	0.7938345898277295	0.7515344876161864	0.5853490960563679
log_juilland_d	0.659090231511183	0.2633563514502363	0.7588764286171966	0.2961093935891402	0.1629318448160163
log_gries_dp	0.2973969948457189	0.4204310433068874	0.266133670748354	0.4939153055484267	0.2670501338090256
log_rosengren_s	0.6566603793262568	0.3277945299392236	0.8449179797917126	0.3578194858232276	0.1957113693726532
log_carrol_d2	0.6490660547640064	0.2533662979429743	0.8039642147502675	0.2882221426658734	0.1599243707966456
log_lyne_d3	0.2615972333746315	0.5068403312384436	0.3498040125231182	0.2554637646819877	0.2907406002210642
log_range_channels	0.9809776695065788	0.989614747310702	0.9398897489493724	0.9882833522276854	0.9842812733297216
log_sort_gini_channels	0.9624003879195135	0.9725188550960928	0.8831645025434852	0.9828917445106689	0.974107246495332
log_juilland_d_channels	0.515376889599555	0.7099414714138826	0.676415686110148	0.4563894546073697	0.5026159970267429
log_gries_dp_channels	0.7046464725495252	0.6684043785616905	0.8161357371837321	0.7249344619791721	0.79071712058668
log_rosengren_s_channels	0.97279808040811	0.984189180070518	0.9160964481038968	0.9866773546410212	0.97920922937528
log_carrol_d2_channels	0.6690208386629618	0.7649254475702314	0.7412292206152504	0.6415628549706893	0.8037923206542149
log_lyne_d3_channels	0.3189214680576449	0.0444846490495788	0.6484665432046692	0.2533926295932361	-0.0042798591967716
log_range_videos	0.9854623112149944	0.994278636882394	0.9813033913682214	0.9903991481478832	0.989505055947658
log_sort_gini_videos	0.9709098313880566	0.9844668314077152	0.9540963686822532	0.9856327057181185	0.9808108743371028
log_juilland_d_videos	0.4757465424157867	0.66749539834413	0.5656098899051915	0.4271388141687013	0.3921742782766291
log_gries_dp_videos	0.2848596251639997	0.3646319997857199	0.2378483939386859	0.6356004950920743	0.4827662930518205
log_rosengren_s_videos	0.979271468123432	0.9910010377488644	0.9707455123742564	0.9887483307227156	0.9853651158945508
log_carrol_d2_videos	0.6335946120358174	0.7274383371706573	0.6604953400198607	0.6153141160828558	0.7606821905691454
log_lyne_d3_videos	-0.2218889562762035	0.1025512183084182	-0.014393748529792	0.1304847948341875	-0.1247439276066851
