	Indonesian	Japanese	Chinese	English	Spanish
frequency	0.5703080748604173	0.1746834649104011	0.3307827265196513	0.3066068098234794	0.588014068006261
range	0.8753167152375178	0.925100691110062	0.9016498404255248	0.7616998019887917	0.7313694763675438
sort_gini	0.7164080142523134	0.8740056715888722	0.7920235061120293	0.7827060252727758	0.5951590312785753
juilland_d	0.6257209127999928	0.8182417475368249	0.7182448340186676	0.6718960183199892	0.4457972470373852
gries_dp	0.5826968011801961	0.8228107659572975	0.6691133391915405	0.6922099483997949	0.4800675641315419
rosengren_s	0.6793886293893072	0.8602600083547944	0.758157115243323	0.7147178511362434	0.5680478388462624
s2	0.8062447160606859	0.9087277741475164	0.8554785297528318	0.7936120178330586	0.6733210002586012
carrol_d2	0.7110274966146413	0.8573821108464726	0.7867292156421706	0.7097727213573773	0.5446901214632025
lyne_d3	0.3700131701467351	0.5994842039227041	0.4755079207377519	0.3590995138312095	0.2979133844881017
range_channels	0.6845303494571219	0.5509732101491586	0.6065647227393844	0.6732991900194065	0.751009387157262
sort_gini_channels	0.6072869055076868	0.4385923211980932	0.5136486181283508	0.5814044118008802	0.6653323994866983
juilland_d_channels	0.865185674274243	0.9204291293572836	0.8271618020556568	0.8462232128129834	0.8467871573310599
gries_dp_channels	0.8278922738079232	0.8280469430365491	0.6563822854545244	0.8382907433025241	0.8808093158643507
rosengren_s_channels	0.7797254074843368	0.7373153399859035	0.7101902354783559	0.7748572831793049	0.826387502112548
s2_channels	0.6382018905912632	0.483090320488193	0.5501571532192197	0.6230198130243847	0.6984435579146233
carrol_d2_channels	0.9595458588673964	0.9704043474682864	0.8819875994922793	0.9813532010157522	0.968299788421188
lyne_d3_channels	0.4027023776610463	0.6155550056262187	0.4838809021751032	0.360666031371967	0.4061546446537552
range_videos	0.64126793785986	0.450276422211935	0.5623924689123683	0.635669657826604	0.6792262426210322
sort_gini_videos	0.5861645544055254	0.3958570673075685	0.5393071129143086	0.5619135177118135	0.6361276678634024
juilland_d_videos	0.8582789980458426	0.9049454048248076	0.8340798262718484	0.8299840373659995	0.8288884667339147
gries_dp_videos	0.7573318587812669	0.5921604737069366	0.718409769017121	0.7628498379886107	0.7670368415451421
rosengren_s_videos	0.6852510243889651	0.5138672125845926	0.6484668959029807	0.7010284668334666	0.7043589828551203
s2_videos	0.6093682900801471	0.4211905330034902	0.5481933025509828	0.5973321220986076	0.6546131776089832
carrol_d2_videos	0.970618246253128	0.9840851959336012	0.9501429962701236	0.9849445169488892	0.9786721173653284
lyne_d3_videos	0.4001862038909417	0.6076460380435955	0.5058909954319435	0.354888252027699	0.3958644163961842
log_frequency	1.0	1.0	1.0	1.0	1.0
log_range	0.8122333421031374	0.8681161023824351	0.8680423884385797	0.6802955784455392	0.6830437168706635
log_sort_gini	0.7284025732770785	0.8620811234278198	0.7938345898277295	0.7515344876161864	0.5853490960563679
log_juilland_d	0.58787058361727	0.7568939732588426	0.6553462582339169	0.5829220581993003	0.3994892212904674
log_gries_dp	0.5378949188599804	0.7623482175826691	0.6317546412967123	0.5955484825209887	0.4542651350700696
log_rosengren_s	0.6021254022551216	0.7935328992344993	0.6999659137863365	0.599634814041949	0.5299729256071697
log_s2	0.7849200612926786	0.8688472049808766	0.8403902406964785	0.7285499690697842	0.6529690792486557
log_carrol_d2	0.6469839664072765	0.7831232256485517	0.7091781048828913	0.6042029375557496	0.4970504017736824
log_lyne_d3	0.3031949481096987	0.5412501859665432	0.3980760527259632	0.2927763492352323	0.291238881343831
log_range_channels	0.9809776695065788	0.989614747310702	0.9398897489493724	0.9882833522276854	0.9842812733297216
log_sort_gini_channels	0.9624003879195135	0.9725188550960928	0.8831645025434852	0.9828917445106689	0.974107246495332
log_juilland_d_channels	0.515376889599555	0.7099414714138826	0.676415686110148	0.4563894546073697	0.5026159970267429
log_gries_dp_channels	0.7060577605569037	0.3531067898930118	0.3459427585192121	0.8586594425703671	0.914921085903153
log_rosengren_s_channels	0.8746326145352167	0.8906967993302451	0.5892810975130555	0.9512580388130796	0.925697245235242
log_s2_channels	0.97279808040811	0.984189180070518	0.9160964481038968	0.9866773546410212	0.97920922937528
log_carrol_d2_channels	0.6690208386629618	0.7649254475702314	0.7412292206152504	0.6415628549706893	0.8037923206542149
log_lyne_d3_channels	0.4662542393694434	0.3946973063107402	0.4215363988205037	0.4503181777291244	0.3901836038118928
log_range_videos	0.9854623112149944	0.994278636882394	0.9813033913682214	0.9903991481478832	0.989505055947658
log_sort_gini_videos	0.9709098313880566	0.9844668314077152	0.9540963686822532	0.9856327057181185	0.9808108743371028
log_juilland_d_videos	0.4757465424157867	0.66749539834413	0.5656098899051915	0.4271388141687013	0.3921742782766291
log_gries_dp_videos	0.9448674463996646	0.9614933185043346	0.8989757475613336	0.9705521066655638	0.966982591481956
log_rosengren_s_videos	0.9365641316175132	0.9615903583779384	0.9093214650648964	0.9710429126822288	0.959182036771094
log_s2_videos	0.979271468123432	0.9910010377488644	0.9707455123742564	0.9887483307227156	0.9853651158945508
log_carrol_d2_videos	0.6335946120358174	0.7274383371706573	0.6604953400198607	0.6153141160828558	0.7606821905691454
log_lyne_d3_videos	0.2740844136281439	0.5144401434655548	0.3664262024028339	0.2623009297443953	0.3775130888861612
