	Chinese	English	Spanish
wordfreq	0.000000	0.706760	0.000000
Wikipedia	0.000000	0.000000	0.000000
Wikipedia_R		0.000000	0.000000
SUBTLEX	0.005774	0.005553	0.000000
SUBTLEX_R		0.006233	0.000000
SubIMDB		0.000000	
OpenSubtitles	0.176756	0.000000	0.019740
GINI		0.000000	
TUBELEX			
TUBELEX\textsubscript{R}		1.000000	1.000000
TUBELEX\textsubscript{L}		0.000003	0.249970
TUBELEX_entertainment	0.000000	0.000002	0.000000
TUBELEX_entertainment_L		0.000016	0.000000
TUBELEX_entertainment_R		0.000005	0.000000
TUBELEX_comedy	0.000000	0.000000	0.000000
TUBELEX_comedy_L		0.000000	0.000000
TUBELEX_comedy_R		0.000000	0.000000
