,tokens,correlation
BNC-Spoken:en,10365473.0,0.7405504329342344
CREA-Spoken:es,3171903.0,0.5345041292546738
CSJ:ja,7479773.0,0.4040480655658828
HKUST/MTS:zh,1342379.0,0.413700329522365
ACTIV-ES:es,3897234.0,0.5264220764035391
EsPal:es,462611693.0,0.4282489627815909
LaboroTV1+2:ja,99367439.0,0.5107119933373123
OpenSubtitles:zh,191379324.0,0.444230890825922
OpenSubtitles:en,3235391790.0,0.776407840540613
OpenSubtitles:id,137231876.0,0.5817837327394401
OpenSubtitles:es,1512443143.0,0.5528749540746718
SUBTLEX:zh,33546516.0,0.5048874751579793
SUBTLEX:en,49719560.0,0.7730302670481576
SUBTLEX:es,40017237.0,0.5379446337647159
SUBTLEX-UK:en,201706753.0,0.7789709520364073
Wikipedia:zh,271230431.0,0.3344860291903343
Wikipedia:en,2489387103.0,0.6610889840148028
Wikipedia:id,117956650.0,0.4554734118882078
Wikipedia:ja,610467200.0,0.4344596199777628
Wikipedia:es,685158870.0,0.3294433124925001
TUBELEX:zh,17865686.0,0.5062999028179022
TUBELEX:en,170750870.0,0.7767406648667257
TUBELEX:id,34903381.0,0.6245905598008291
TUBELEX:ja,163439781.0,0.5624902010851339
TUBELEX:es,166423254.0,0.5467955844553145
