	Chinese	English	Indonesian	Japanese	Spanish
wordfreq	0.000000	0.051093	0.002186	0.073639	0.000000
Wikipedia	0.000000	0.000000	0.000000	0.000000	0.000000
Wikipedia_R			0.000000		
SUBTLEX	0.709400	0.306050			0.522836
SUBTLEX-UK		0.486757			
SubIMDB		0.247980			
OpenSubtitles	0.000000	0.928887	0.000112	0.000000	0.636819
GINI		0.000000		0.000000	
CSJ				0.000017	
LaboroTV1+2				0.000000	
ACTIV-ES					0.166107
Alonso+2011					0.328071
EsPal					0.000000
TUBELEX\textsubscript{default}					
TUBELEX\textsubscript{regex}		0.693728	0.008684		0.292460
TUBELEX\textsubscript{base}				0.000013	
TUBELEX\textsubscript{lemma}		0.116550	0.519430	0.177371	0.519260
TUBELEX_entertainment	0.000000	0.000000	0.486276	0.000000	0.725020
TUBELEX_entertainment_L		0.000001	0.218778	0.000000	0.898985
TUBELEX_entertainment_B				0.000000	
TUBELEX_entertainment_R		0.000000	0.033704		0.521884
TUBELEX_comedy	0.000000	0.000000	0.000000	0.016488	0.628830
TUBELEX_comedy_L		0.000000	0.000000	0.802863	0.564706
TUBELEX_comedy_B				0.000080	
TUBELEX_comedy_R		0.000000	0.000000		0.586460
