	Chinese	English	Spanish
wordfreq	0.6029	0.9179	0.9295
Wikipedia	0.7295	0.8858	0.8695
Wikipedia_R		0.887	0.8746
SUBTLEX	0.784	0.8599	0.8442
SUBTLEX-UK		0.8708	
SUBTLEX_R		0.8558	0.8474
SubIMDB		0.8632	
OpenSubtitles	0.756	0.8753	0.9029
GINI		0.6111	
LaboroTV1+2			
ACTIV-ES			0.7174
Alonso+2011			0.7862
EsPal			0.8988
TUBELEX\textsubscript{default}	1.0	1.0	1.0
TUBELEX\textsubscript{regex}		0.9988	0.9954
TUBELEX\textsubscript{lemma}		0.9024	0.9651
TUBELEX_entertainment	0.8737	0.9463	0.9529
TUBELEX_entertainment_L		0.8577	0.9278
TUBELEX_entertainment_R		0.9452	0.9488
TUBELEX_comedy	0.4198	0.8061	0.7112
TUBELEX_comedy_L		0.756	0.716
TUBELEX_comedy_R		0.8047	0.708
