	Indonesian	Japanese	Chinese	English	Spanish
frequency	0.3940165718981611	0.3914136776457756	0.2620802253465258	0.6139624933575223	0.2998321258082448
range	0.4221118021677995	0.4260259373379605	0.2796656947359737	0.6594076365057181	0.3095602545593191
sort_gini	0.416346209172592	0.4239541937701889	0.2655261536328657	0.6214087543601409	0.3051892402773771
juilland_d	0.4093321277743894	0.4183953776561533	0.2730359820849093	0.6238489375712094	0.3009557950127363
gries_dp	0.4185066722729476	0.4252750701988078	0.2751131649602039	0.6316920200158	0.3042134302602733
rosengren_s	0.42769140736228	0.4332002156174681	0.2725723261042073	0.6494637806563061	0.309295066733747
carrol_d2	0.4154188685377336	0.4241186626520559	0.2778354620204852	0.6402177574977277	0.3042361214454182
lyne_d3	0.3892258415957162	0.3905113848125447	0.2612449553657094	0.6150253281983685	0.3016936018749258
range_channels	0.3900429332969518	0.396677272774278	0.2624467111198841	0.6379827165077807	0.2995304334394864
sort_gini_channels	0.3904167959263924	0.3951891208387399	0.2630188527178952	0.6337178756432104	0.3004018731875021
juilland_d_channels	0.3988755193857831	0.4144165164724063	0.2599301184746841	0.6401884640296478	0.301139253081079
gries_dp_channels	0.3977823950544674	0.3915509476437896	0.2728879834036325	0.6314925116980372	0.2978613347929704
rosengren_s_channels	0.3902733697007103	0.3957626153811222	0.2630498149594668	0.6360402934082825	0.3001910329285603
carrol_d2_channels	0.4233062411896486	0.4029000946744339	0.2569818093150464	0.606997386852655	0.2998701055433398
lyne_d3_channels	0.3894927091870633	0.3905195702448731	0.261918748690121	0.6148820788698546	0.3037759002897233
range_videos	0.3908989070533337	0.3961107274108251	0.2651735267207757	0.6368730959286717	0.3002741450253852
sort_gini_videos	0.390817646315007	0.3948158531170295	0.2652855078434769	0.632671020703063	0.3005855177542765
juilland_d_videos	0.3970353036244312	0.4111563102499975	0.2605074189371305	0.6423373489739852	0.2987612887411011
gries_dp_videos	0.3892204389415121	0.3980139124324724	0.2617916992820951	0.6380855926068615	0.3000923270623035
rosengren_s_videos	0.3908514410431202	0.3953823155511237	0.26530643092599	0.6349280430542223	0.3004969325799119
carrol_d2_videos	0.4295629759800077	0.4159253289475937	0.258072050505997	0.6093680374191068	0.298486802002503
lyne_d3_videos	0.3900788367474063	0.3898208732400798	0.2588832596758215	0.6144985043323228	0.2988840231762187
log_frequency	0.3892158407824989	0.3889123963628291	0.2562491379456626	0.6031308598780409	0.2978256887327861
log_range	0.4001459426373087	0.4068743379344151	0.2827675213202961	0.6495957638632699	0.3065900317390448
log_sort_gini	0.4145955911007746	0.4172154417807232	0.2748763303802675	0.6390294787035689	0.3061233000051917
log_juilland_d	0.4017810586911695	0.3930049470765846	0.2584898596498195	0.6034753064150431	0.2989488591704685
log_gries_dp	0.4196568448976507	0.410409138975831	0.2687805215916787	0.6102861127047619	0.3015825351223526
log_rosengren_s	0.4090930793829131	0.3965117629260423	0.2662400183015273	0.6046368782829135	0.3005546623210304
log_carrol_d2	0.4048903805385601	0.3938238949542373	0.2621202912606264	0.6041072287212773	0.2997274495742325
log_lyne_d3	0.3915917725456966	0.3890380579930901	0.2571323661172263	0.6087639845655024	0.3016019797897205
log_range_channels	0.4663911616596788	0.4475772052037222	0.2694136521140464	0.6550129584004734	0.3101684043639003
log_sort_gini_channels	0.4287428322924377	0.3961909551215472	0.2562987817282522	0.6059398656877792	0.3006892506153784
log_juilland_d_channels	0.3893766868935763	0.3931601916406368	0.2620923505260685	0.6175865478278701	0.2988961237113826
log_gries_dp_channels	0.3892311612974606	0.3962436261110709	0.2605329279727895	0.6368384298715284	0.2994171521145904
log_rosengren_s_channels	0.4440784849180371	0.414691941892969	0.2583576082131528	0.6207366311705144	0.3034674313257325
log_carrol_d2_channels	0.389263619814212	0.3942350120213845	0.2632094128432637	0.620888002367777	0.2998194759370506
log_lyne_d3_channels	0.389749134787314	0.3890321725694587	0.2562652432377308	0.6046500041741008	0.2989682685630156
log_range_videos	0.4583971100839328	0.4341936150715328	0.2710468306321539	0.6466334127471497	0.3027706709572028
log_sort_gini_videos	0.4319689869193007	0.4064206099215915	0.2573837818373853	0.6073724176779262	0.2987346199365781
log_juilland_d_videos	0.3894284893617854	0.3909559429862841	0.2589240512286621	0.6165736413245815	0.2981629847060267
log_gries_dp_videos	0.3901138374210321	0.3930753876456572	0.2564237419169748	0.6344269318915423	0.2989804034394701
log_rosengren_s_videos	0.4444064496461525	0.4220846225519274	0.2612379322364437	0.621231703671637	0.2999331818534684
log_carrol_d2_videos	0.3892182164949497	0.39160395246153	0.2595819312334928	0.6197398328184389	0.2985361667860644
log_lyne_d3_videos	0.3928552599969437	0.3899437604404109	0.2566241549805484	0.6050675382005548	0.298705966708304
