,Chinese,English,Indonesian,Japanese,Spanish
BNC-Spoken,,10365473.0,,,
CREA-Spoken,,,,,3171903.0
CSJ,,,,7479773.0,
HKUST/MTS,1342379.0,,,,
ACTIV-ES,,,,,3897234.0
EsPal,,,,,462611693.0
LaboroTV1+2,,,,99367439.0,
OpenSubtitles,191379324,3235391790,137231876,23665222,1512443143
SubIMDB,,179967485.0,,,
SUBTLEX,33546516.0,49719560.0,,,40017237.0
SUBTLEX-UK,,201706753.0,,,
GINI,,,,,
Wikipedia,271230431,2489387103,117956650,610467200,685158870
wordfreq,,,,,
TUBELEX\textsubscript{default},18021001,172457887,35534309,163439781,170983317
TUBELEX\textsubscript{regex},,179139158.0,35501746.0,,168456930.0
TUBELEX\textsubscript{base},,,,165932178.0,
TUBELEX\textsubscript{lemma},,170764637.0,35529242.0,165937400.0,170945890.0
