	English	Japanese	Spanish
	(Glasgow)	(Amano+Kondo)	(Moreno-Martínez)
BNC-Spoken	0.8518698849947665		
CREA-Spoken			0.804087198401266
CSJ		0.6935419779806201	
ACTIV-ES			0.791501473791753
EsPal			0.7885737173845456
LaboroTV1+2		0.6801033820136579	
OpenSubtitles	0.8699322873226708	0.5077179498315372	0.9215224438130148
SubIMDB	0.8414781347097127		
SUBTLEX	0.8472233969929452		0.8685146804779346
SUBTLEX-UK	0.8837751511075892		
GINI	0.6956094055082295	0.8036297626142946	
Wikipedia	0.8519173683454287	0.868236406932129	0.8709392718077063
wordfreq	0.962345512372204	0.6914428914013784	0.9434409739792338
TUBELEX\textsubscript{default}	1.0	0.9999999999999998	1.0
TUBELEX\textsubscript{regex}	0.9982566387752808		0.9858505301242484
TUBELEX\textsubscript{base}		0.9770601530273246	
TUBELEX\textsubscript{lemma}	0.9646832488381214	0.8610311484691976	0.981894858422135
TUBELEX_entertainment	0.9611887345763622	0.9513995520560056	0.9634402468567252
TUBELEX_entertainment_L	0.9281252374173212	0.8174255623725986	0.9537536171871388
TUBELEX_entertainment_B		0.9265582966840132	
TUBELEX_entertainment_R	0.9591344882984458		0.9494696366122972
TUBELEX_comedy	0.8720674243779086	0.7555218627074353	0.7952721417686122
TUBELEX_comedy_L	0.848045142332536	0.662897161851442	0.7957185994714829
TUBELEX_comedy_B		0.7374751047390432	
TUBELEX_comedy_R	0.8699495151401042		0.7876915092616857
