,Chinese,English,Indonesian,Japanese,Spanish
BNC-Spoken,,669417,,,
CREA-Spoken,,,,,67979
CSJ,,,,40960,
HKUST/MTS,42247,,,,
ACTIV-ES,,,,,80787
EsPal,,,,,35257
LaboroTV1+2,,,,218762,
OpenSubtitles,1009838,2290458,456125,58856,1629907
SubIMDB,,899603,,,
SUBTLEX,99121,74286,,,94261
SUBTLEX-UK,,160022,,,
GINI,,324713,,208275,
Wikipedia,1403791,2161820,373461,522210,986947
wordfreq,334609,321180,31188,214960,342072
TUBELEX\textsubscript{default},433325,494414,309149,409503,638932
TUBELEX\textsubscript{regex},,445952,300778,,616971
TUBELEX\textsubscript{base},,,,386727,
TUBELEX\textsubscript{lemma},,433545,268224,337756,534013
